
extracted_at,file_path,rank1_bubble_ratio,rank2_bubble_ratio,rank3_bubble_ratio,rank4_bubble_ratio,stage0_freeze_ratio,stage1_freeze_ratio,stage2_freeze_ratio,stage3_freeze_ratio,stage4_freeze_ratio,stage5_freeze_ratio,stage6_freeze_ratio,stage7_freeze_ratio
2025-12-28T16:12:58,/home/shcho/torchtitan/logs/dmserver1/1104_llama1b/1227_GPipe_fullrand7_11.log,0.5465,0.4821,0.5525,0.3434,0.3267,0.379,0.1295,0.7554,,,,
2025-12-28T16:12:58,/home/shcho/torchtitan/logs/dmserver1/1104_llama1b/1227_GPipe_timelyapf_11.log,,,,,,,,,,,,
2025-12-28T16:12:58,/home/shcho/torchtitan/logs/dmserver1/1104_llama1b/1227_Interleaved1F1B_apf_11.log,0.7347,0.6623,0.728,0.3058,0.7088,0.7037,0.7319,0.7044,0.697,0.7237,0.6844,0.6109
2025-12-28T16:12:58,/home/shcho/torchtitan/logs/dmserver1/1104_llama1b/1227_Interleaved1F1B_auto_11.log,0.696,0.559,0.6548,0.2882,0.7958,0.4667,0.4933,0.4933,0.3867,0.2333,0.2467,0.0
2025-12-28T16:12:58,/home/shcho/torchtitan/logs/dmserver1/1104_llama1b/1227_Interleaved1F1B_fullrand7_11.log,0.5658,0.4895,0.5928,0.3455,0.2908,0.4931,0.422,0.7711,0.0727,0.1441,0.112,0.7659
2025-12-28T16:12:58,/home/shcho/torchtitan/logs/dmserver1/1104_llama1b/1227_Interleaved1F1B_nofreeze_11.log,0.6216,0.5608,0.6571,0.298,,,,,,,,
2025-12-28T16:12:58,/home/shcho/torchtitan/logs/dmserver1/1104_llama1b/1227_Interleaved1F1B_timelyapf_11.log,0.5662,0.4888,0.599,0.3483,0.291,0.4931,0.4282,0.7766,0.0666,0.1441,0.1117,0.7659
2025-12-28T16:12:58,/home/shcho/torchtitan/logs/dmserver1/1104_llama1b/1227_Interleaved1F1B_timelyauto_11.log,0.5638,0.4895,0.5928,0.3457,0.2909,0.4931,0.4222,0.7712,0.0727,0.1441,0.1121,0.7659
2025-12-28T16:12:58,/home/shcho/torchtitan/logs/dmserver1/1104_llama1b/1227_ZBVZeroBubble_apf_11.log,0.2916,0.5262,0.6202,0.636,0.7158,0.6647,0.6637,0.6689,0.6644,0.6659,0.6637,0.543
2025-12-28T16:12:58,/home/shcho/torchtitan/logs/dmserver1/1104_llama1b/1227_ZBVZeroBubble_auto_11.log,0.1615,0.442,0.5641,0.5761,0.9221,0.3822,0.34,0.34,0.06,0.1133,0.0533,0.0
2025-12-28T16:12:58,/home/shcho/torchtitan/logs/dmserver1/1104_llama1b/1227_ZBVZeroBubble_fullrand7_11.log,0.2799,0.3976,0.4752,0.498,0.7744,0.7081,0.4088,0.4931,0.0729,0.0731,0.1441,0.7754
2025-12-28T16:12:58,/home/shcho/torchtitan/logs/dmserver1/1104_llama1b/1227_ZBVZeroBubble_nofreeze_11.log,0.1296,0.4705,0.5859,0.5972,,,,,,,,
2025-12-28T16:12:58,/home/shcho/torchtitan/logs/dmserver1/1104_llama1b/1227_ZBVZeroBubble_timelyapf_11.log,0.287,0.4099,0.4613,0.487,0.7744,0.743,0.3121,0.3963,0.0278,0.0278,0.0278,0.7659
2025-12-28T16:12:58,/home/shcho/torchtitan/logs/dmserver1/1104_llama1b/1227_ZBVZeroBubble_timelyauto_11.log,0.2708,0.4043,0.4703,0.4994,0.7744,0.7343,0.4029,0.4931,0.0728,0.0728,0.1441,0.7753
2025-12-28T16:13:00,/home/shcho/torchtitan/logs/dmserver1/1104_llama1b/1224_1F1B_apf_42.log,0.7185,0.6464,0.7242,0.2788,0.7074,0.7129,0.713,0.668,,,,
2025-12-28T16:13:00,/home/shcho/torchtitan/logs/dmserver1/1104_llama1b/1224_1F1B_auto_42.log,0.688,0.6626,0.6419,0.2862,0.6259,0.7147,0.37,0.3021,,,,
2025-12-28T16:13:00,/home/shcho/torchtitan/logs/dmserver1/1104_llama1b/1224_1F1B_fullrand7_42.log,0.526,0.3938,0.5399,0.2933,0.1849,0.1441,0.1441,0.7724,,,,
2025-12-28T16:13:00,/home/shcho/torchtitan/logs/dmserver1/1104_llama1b/1224_1F1B_nofreeze_42.log,0.61,0.5507,0.6513,0.2826,,,,,,,,
2025-12-28T16:13:00,/home/shcho/torchtitan/logs/dmserver1/1104_llama1b/1224_1F1B_timelyapf_42.log,0.5269,0.394,0.5415,0.2982,0.182,0.1441,0.1441,0.7724,,,,
2025-12-28T16:13:00,/home/shcho/torchtitan/logs/dmserver1/1104_llama1b/1224_1F1B_timelyauto_42.log,0.5237,0.3945,0.5406,0.2955,0.1819,0.1441,,0.7724,,,,
2025-12-28T16:13:00,/home/shcho/torchtitan/logs/dmserver1/1104_llama1b/1224_GPipe_apf_42.log,0.717,0.6451,0.7231,0.2486,0.7013,0.7227,0.7411,0.6487,,,,
2025-12-28T16:13:00,/home/shcho/torchtitan/logs/dmserver1/1104_llama1b/1224_GPipe_auto_42.log,0.6206,0.6388,0.6081,0.2669,0.6324,0.672,0.37,0.5628,,,,
2025-12-28T16:13:00,/home/shcho/torchtitan/logs/dmserver1/1104_llama1b/1224_GPipe_fullrand7_42.log,0.5525,0.4812,0.5461,0.3487,0.3204,0.3892,0.1295,0.7554,,,,
2025-12-28T16:13:00,/home/shcho/torchtitan/logs/dmserver1/1104_llama1b/1224_GPipe_nofreeze_42.log,0.5611,0.5427,0.6437,0.2783,,,,,,,,
2025-12-28T16:13:00,/home/shcho/torchtitan/logs/dmserver1/1104_llama1b/1224_GPipe_timelyapf_42.log,0.5512,0.4904,0.5416,0.334,0.3267,0.4022,0.1358,0.7554,,,,
