
extracted_at,file_path,rank1_bubble_ratio,rank2_bubble_ratio,rank3_bubble_ratio,rank4_bubble_ratio,stage0_freeze_ratio,stage1_freeze_ratio,stage2_freeze_ratio,stage3_freeze_ratio,stage4_freeze_ratio,stage5_freeze_ratio,stage6_freeze_ratio,stage7_freeze_ratio
2026-01-06T05:28:35,/opt/dlami/nvme/DMLAB/shcho/torchtitan/logs/h200/260102_llama8b/260102_1F1B_apf.log,0.3987,0.3421,0.4148,0.2729,0.5779,0.5861,0.5839,0.5604,,,,
2026-01-06T05:28:35,/opt/dlami/nvme/DMLAB/shcho/torchtitan/logs/h200/260102_llama8b/260102_1F1B_auto.log,0.3742,0.3483,0.4196,0.2757,0.8264,0.8619,0.8514,0.7956,,,,
2026-01-06T05:28:35,/opt/dlami/nvme/DMLAB/shcho/torchtitan/logs/h200/260102_llama8b/260102_1F1B_fullrand7.log,0.2705,0.301,0.3779,0.3153,0.4673,0.7899,0.7893,0.7888,,,,
2026-01-06T05:28:35,/opt/dlami/nvme/DMLAB/shcho/torchtitan/logs/h200/260102_llama8b/260102_1F1B_nofreeze.log,0.3377,0.2875,0.3707,0.2913,,,,,,,,
2026-01-06T05:28:35,/opt/dlami/nvme/DMLAB/shcho/torchtitan/logs/h200/260102_llama8b/260102_1F1B_timelyapf.log,0.2649,0.2776,0.3573,0.2766,0.4505,0.7899,0.7438,0.7888,,,,
2026-01-06T05:28:35,/opt/dlami/nvme/DMLAB/shcho/torchtitan/logs/h200/260102_llama8b/260102_1F1B_timelyauto.log,0.2652,0.2909,0.3513,0.3158,0.4723,0.7524,0.7082,0.7888,,,,
2026-01-06T05:28:35,/opt/dlami/nvme/DMLAB/shcho/torchtitan/logs/h200/260102_llama8b/260102_GPipe_apf.log,0.3961,0.3388,0.4139,0.2733,0.5779,0.5861,0.5839,0.5604,,,,
2026-01-06T05:28:35,/opt/dlami/nvme/DMLAB/shcho/torchtitan/logs/h200/260102_llama8b/260102_GPipe_auto.log,0.3728,0.3454,0.419,0.2768,0.8264,0.8619,0.8514,0.7956,,,,
2026-01-06T05:28:35,/opt/dlami/nvme/DMLAB/shcho/torchtitan/logs/h200/260102_llama8b/260102_GPipe_fullrand7.log,0.4006,0.2918,0.3493,0.3048,0.5272,0.7884,0.7387,0.7889,,,,
2026-01-06T05:28:35,/opt/dlami/nvme/DMLAB/shcho/torchtitan/logs/h200/260102_llama8b/260102_GPipe_nofreeze.log,0.3319,0.2884,0.3689,0.293,,,,,,,,
2026-01-06T05:28:36,/opt/dlami/nvme/DMLAB/shcho/torchtitan/logs/h200/260102_llama8b/260102_GPipe_timelyapf.log,0.4231,0.3199,0.3782,0.3309,0.5272,0.7884,0.7437,0.7889,,,,
2026-01-06T05:28:36,/opt/dlami/nvme/DMLAB/shcho/torchtitan/logs/h200/260102_llama8b/260102_GPipe_timelyauto.log,0.4227,0.3182,0.3933,0.3236,0.5289,0.7884,0.7893,0.7888,,,,
2026-01-06T05:28:36,/opt/dlami/nvme/DMLAB/shcho/torchtitan/logs/h200/260102_llama8b/260102_Interleaved1F1B_apf.log,0.3726,0.2982,0.3714,0.2315,0.5915,0.6066,0.5835,0.564,0.5796,0.5989,0.5746,0.5467
2026-01-06T05:28:36,/opt/dlami/nvme/DMLAB/shcho/torchtitan/logs/h200/260102_llama8b/260102_Interleaved1F1B_auto.log,0.3541,0.2894,0.3986,0.2543,0.9467,0.8768,0.9784,0.9784,0.6473,0.5405,0.6486,0.5318
2026-01-06T05:28:36,/opt/dlami/nvme/DMLAB/shcho/torchtitan/logs/h200/260102_llama8b/260102_Interleaved1F1B_fullrand7.log,0.2309,0.2295,0.2918,0.3065,0.3756,0.789,0.6761,0.7877,0.4228,0.4701,0.4972,0.7901
2026-01-06T05:28:36,/opt/dlami/nvme/DMLAB/shcho/torchtitan/logs/h200/260102_llama8b/260102_Interleaved1F1B_nofreeze.log,0.293,0.2416,0.326,0.244,,,,,,,,
2026-01-06T05:28:36,/opt/dlami/nvme/DMLAB/shcho/torchtitan/logs/h200/260102_llama8b/260102_Interleaved1F1B_timelyapf.log,0.2192,0.2461,0.3004,0.2955,0.3724,0.789,0.6899,0.7877,0.4227,0.4499,0.4634,0.7901
2026-01-06T05:28:36,/opt/dlami/nvme/DMLAB/shcho/torchtitan/logs/h200/260102_llama8b/260102_Interleaved1F1B_timelyauto.log,0.2146,0.215,0.2684,0.2909,0.4382,0.789,0.6661,0.7877,0.3757,0.487,0.4701,0.7901
2026-01-06T05:28:36,/opt/dlami/nvme/DMLAB/shcho/torchtitan/logs/h200/260102_llama8b/260102_ZBVZeroBubble_apf.log,0.1803,0.2341,0.3251,0.3278,0.5737,0.4011,0.4012,0.4156,0.4383,0.4386,0.386,0.4132
2026-01-06T05:28:36,/opt/dlami/nvme/DMLAB/shcho/torchtitan/logs/h200/260102_llama8b/260102_ZBVZeroBubble_auto.log,0.1116,0.1235,0.2257,0.2299,0.4102,0.3827,0.3797,0.423,0.1095,0.1027,0.1041,0.0302
2026-01-06T05:28:36,/opt/dlami/nvme/DMLAB/shcho/torchtitan/logs/h200/260102_llama8b/260102_ZBVZeroBubble_fullrand7.log,0.1848,0.2115,0.2632,0.2883,0.7569,0.789,0.6222,0.7573,0.7404,0.7877,0.7877,0.3752
2026-01-06T05:28:36,/opt/dlami/nvme/DMLAB/shcho/torchtitan/logs/h200/260102_llama8b/260102_ZBVZeroBubble_nofreeze.log,0.103,0.1485,0.2467,0.2519,,,,,,,,
2026-01-06T05:28:36,/opt/dlami/nvme/DMLAB/shcho/torchtitan/logs/h200/260102_llama8b/260102_ZBVZeroBubble_timelyapf.log,0.1648,0.2289,0.2781,0.2977,0.7537,0.789,0.6425,0.6965,0.7877,0.7674,0.7878,0.3711
2026-01-06T05:28:36,/opt/dlami/nvme/DMLAB/shcho/torchtitan/logs/h200/260102_llama8b/260102_ZBVZeroBubble_timelyauto.log,0.1756,0.2146,0.2675,0.2896,0.7569,0.789,0.6155,0.7066,0.7877,0.7876,0.791,0.3711
